id_vinho;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;Vinho
75;7,1;0,21;0,3;1,4;0,037;45;143;0,9932;3,13;0,33;9,9;6;WHITE
76;9,1;0,25;0,34;2;0,071;45;67;0,99769;3,44;0,86;10,2;7;RED
77;10,9;0,39;0,47;1,8;0,118;6;14;0,9982;3,3;0,75;9,8;6;RED
78;5,2;0,16;0,34;0,8;0,029;26;77;0,99155;3,25;0,51;10,1;6;WHITE
79;6,9;0,33;0,62;7,5;0,038;46;132;0,99143;3,23;0,43;13,4;7;WHITE
80;6,8;0,26;0,29;16,95;0,056;48;179;0,9998;3,45;0,4;9,6;5;WHITE
81;6,5;0,3;0,27;4;0,038;37;97;0,99026;3,2;0,6;12,6;8;WHITE
82;6,4;0,16;0,28;2,2;0,042;33;93;0,9914;3,31;0,43;11,1;6;WHITE
83;12,8;0,615;0,66;5,8;0,083;7;42;1,0022;3,07;0,73;10;7;RED
84;11,6;0,42;0,53;3,3;0,105;33;98;1,001;3,2;0,95;9,2;5;RED
85;8,1;0,785;0,52;2;0,122;37;153;0,9969;3,21;0,69;9,3;5;RED
86;7,8;0,7;0,06;1,9;0,079;20;35;0,99628;3,4;0,69;10,9;5;RED
87;6,2;0,36;0,27;3,2;0,032;13;73;0,98942;2,9;0,69;12,6;7;WHITE
88;7,2;0,51;0,24;10;0,093;35;197;0,9981;3,41;0,47;9;5;WHITE
89;9,1;0,68;0,11;2,8;0,093;11;44;0,99888;3,31;0,55;9,5;6;RED
90;7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12,5;6;WHITE
91;10,8;0,4;0,41;2,2;0,084;7;17;0,9984;3,08;0,67;9,3;6;RED
92;6,2;0,37;0,22;8,3;0,025;36;216;0,9964;3,33;0,6;9,6;6;WHITE
93;7,5;0,32;0,49;1,7;0,031;44;109;0,9906;3,07;0,46;12,5;6;WHITE
94;6,4;0,125;0,29;5,85;0,042;24;99;0,992;3,23;0,32;12;7;WHITE
95;7,5;0,18;0,31;11,7;0,051;24;94;0,997;3,19;0,44;9,5;7;WHITE
96;5,4;0,45;0,27;6,4;0,033;20;102;0,98944;3,22;0,27;13,4;8;WHITE
97;7,1;0,31;0,25;11,2;0,048;32;136;0,99663;3,14;0,4;9,5;5;WHITE
98;6;0,52;0,33;7,7;0,046;24;119;0,99224;3,04;0,38;11;6;WHITE
99;6,3;0,23;0,3;1,8;0,033;16;91;0,9906;3,28;0,4;11,8;6;WHITE
100;5,8;0,2;0,16;1,4;0,042;44;99;0,98912;3,23;0,37;12,2;6;WHITE
101;6,4;0,36;0,21;2,2;0,047;26;48;0,99661;3,47;0,77;9,7;6;RED
102;7;0,35;0,17;1,1;0,049;7;119;0,99297;3,13;0,36;9,7;6;WHITE
103;5,2;0,44;0,04;1,4;0,036;43;119;0,9894;3,36;0,33;12,1;8;WHITE
104;6,2;0,23;0,23;1,2;0,018;18;128;0,99178;3,05;0,28;10,6;5;WHITE
105;6,3;0,19;0,29;5,5;0,042;44;189;0,99304;3,19;0,47;10,3;6;WHITE
106;8;0,43;0,36;2,3;0,075;10;48;0,9976;3,34;0,46;9,4;5;RED
107;7;0,26;0,34;10,9;0,038;25;84;0,99432;3,11;0,34;10,9;6;WHITE
108;7,6;0,33;0,35;6,3;0,036;12;126;0,9924;3,16;0,39;12;7;WHITE
109;8,2;0,21;0,48;1,4;0,041;11;99;0,9958;3,17;0,57;9,9;5;WHITE
110;5,7;0,15;0,28;3,7;0,045;57;151;0,9913;3,22;0,27;11,2;6;WHITE
111;6,9;0,42;0,2;15,4;0,043;57;201;0,99848;3,08;0,54;9,4;5;WHITE
112;8,2;0,37;0,36;1;0,034;17;93;0,9906;3,04;0,32;11,7;8;WHITE
113;8,3;0,21;0,41;2,2;0,05;24;108;0,994;2,85;0,45;9,5;5;WHITE
114;5,8;0,33;0,23;5;0,053;29;106;0,99458;3,13;0,52;9;5;WHITE
115;7;0,16;0,3;2,6;0,043;34;90;0,99047;2,88;0,47;11,2;6;WHITE
116;9,1;0,27;0,45;10,6;0,035;28;124;0,997;3,2;0,46;10,4;9;WHITE
117;5,9;0,2;0,28;1;0,043;45;100;0,99033;3,4;0,41;11,4;6;WHITE
118;6;0,14;0,17;5,6;0,036;37;127;0,99373;3,05;0,57;9,8;6;WHITE
119;5,7;0,21;0,37;4,5;0,04;58;140;0,99332;3,29;0,62;10,6;6;WHITE
120;5,5;0,34;0,26;2,2;0,021;31;119;0,98919;3,55;0,49;13;8;WHITE
121;6,4;0,29;0,57;1;0,06;15;120;0,9924;3,06;0,41;9,5;5;WHITE
122;7,1;0,21;0,28;2,7;0,034;23;111;0,99405;3,35;0,64;10,2;4;WHITE
123;9,1;0,5;0,3;1,9;0,065;8;17;0,99774;3,32;0,71;10,5;6;RED
124;6,2;0,2;0,25;15;0,055;8;120;0,99767;3,19;0,53;9,6;6;WHITE
125;6,8;0,2;0,38;4,7;0,04;27;103;0,994;3,37;0,58;10,7;6;WHITE
126;7,1;0,17;0,4;14,55;0,047;47;156;0,99945;3,34;0,78;9,1;6;WHITE
127;6,6;0,17;0,26;7,4;0,052;45;128;0,99388;3,16;0,37;10;6;WHITE
128;6,6;0,37;0,07;1,4;0,048;58;144;0,9922;3,17;0,38;10;5;WHITE
129;6,9;0,63;0,02;1,9;0,078;18;30;0,99712;3,4;0,75;9,8;5;RED
130;5,7;0,695;0,06;6,8;0,042;9;84;0,99432;3,44;0,44;10,2;5;WHITE
131;6,2;0,345;0,27;10,1;0,056;38;187;0,99486;3,31;0,56;10,6;5;WHITE
132;8,6;0,47;0,27;2,3;0,055;14;28;0,99516;3,18;0,8;11,2;5;RED
133;7,1;0,43;0,42;5,5;0,071;28;128;0,9973;3,42;0,71;10,5;5;RED
134;6,7;0,28;0,42;3,5;0,035;43;105;0,99021;3,18;0,38;12,2;6;WHITE
135;6,2;0,22;0,3;12,4;0,054;108;152;0,99728;3,1;0,47;9,5;6;WHITE
136;6,1;0,48;0,09;1,7;0,078;18;30;0,99402;3,45;0,54;11,2;6;RED
137;7,3;0,35;0,24;2;0,067;28;48;0,99576;3,43;0,54;10;4;RED
138;5,6;0,255;0,57;10,7;0,056;66;171;0,99464;3,25;0,61;10,4;7;WHITE
139;6,4;0,17;0,3;2,8;0,034;33;125;0,99152;3,03;0,49;10,4;6;WHITE
140;6;0,28;0,29;19,3;0,051;36;174;0,99911;3,14;0,5;9;5;WHITE
141;7,4;0,31;0,26;8,6;0,048;47;206;0,9964;3,26;0,36;9,1;5;WHITE
142;7,4;0,27;0,26;11,8;0,053;55;173;0,99699;3,11;0,6;9,8;5;WHITE
143;6;0,38;0,26;6;0,034;42;134;0,9912;3,38;0,38;12,3;7;WHITE
144;5,7;0,26;0,24;17,8;0,059;23;124;0,99773;3,3;0,5;10,1;5;WHITE
145;8,1;0,31;0,36;8,2;0,028;29;142;0,9925;3,01;0,34;13;7;WHITE
146;7;0,29;0,35;1,4;0,036;42;109;0,99119;3,31;0,62;11,6;6;WHITE
147;8,8;0,33;0,41;5,9;0,073;7;13;0,99658;3,3;0,62;12,1;7;RED
148;7,2;0,17;0,28;17,55;0,05;33;154;0,99971;2,94;0,43;9;7;WHITE
149;6,5;0,53;0,06;2;0,063;29;44;0,99489;3,38;0,83;10,3;6;RED
150;7,8;0,76;0,04;2,3;0,092;15;54;0,997;3,26;0,65;9,8;5;RED
151;6,7;0,16;0,36;2;0,045;24;131;0,99284;3,3;0,59;10,5;6;WHITE
152;6,6;0,3;0,24;1,2;0,034;17;121;0,9933;3,13;0,36;9,2;5;WHITE
153;7,8;0,22;0,36;1,4;0,056;21;153;0,993;3,2;0,53;10,4;6;WHITE
154;6,5;0,33;0,32;1;0,041;39;120;0,99004;3,06;0,37;12,2;6;WHITE
155;5,6;0,66;0;2,5;0,066;7;15;0,99256;3,52;0,58;12,9;5;RED
156;6,5;0,28;0,27;5,2;0,04;44;179;0,9948;3,19;0,69;9,4;6;WHITE
157;6,7;0,24;0,3;10,2;0,07;44;179;0,99666;2,86;0,46;8,9;6;WHITE
158;7,2;0,27;0,46;18,75;0,052;45;255;1;3,04;0,52;8,9;5;WHITE
159;14,3;0,31;0,74;1,8;0,075;6;15;1,0008;2,86;0,79;8,4;6;RED
160;6,8;0,18;0,3;12,8;0,062;19;171;0,99808;3;0,52;9;7;WHITE
161;6,3;0,67;0,48;12,6;0,052;57;222;0,9979;3,17;0,52;9,3;6;WHITE
162;6,7;0,25;0,13;1,2;0,041;81;174;0,992;3,14;0,42;9,8;5;WHITE
163;7,4;0,32;0,55;16,6;0,056;53;238;1,0017;2,96;0,58;8,7;6;WHITE
164;9;0,46;0,31;2,8;0,093;19;98;0,99815;3,32;0,63;9,5;6;RED
165;6,1;0,27;0,33;2,2;0,021;26;117;0,9886;3,12;0,3;12,5;6;WHITE
166;7;0,24;0,32;1,3;0,037;39;123;0,992;3,17;0,42;11,2;8;WHITE
167;8,3;0,675;0,26;2,1;0,084;11;43;0,9976;3,31;0,53;9,2;4;RED
168;9,2;0,15;0,68;1,6;0,046;22;130;0,9948;3,02;0,45;10,4;6;WHITE
169;7,4;0,17;0,29;1,4;0,047;23;107;0,9939;3,52;0,65;10,4;6;WHITE
170;7,9;0,12;0,49;5,2;0,049;33;152;0,9952;3,18;0,47;10,6;6;WHITE
171;4,6;0,52;0,15;2,1;0,054;8;65;0,9934;3,9;0,56;13,1;4;RED
172;8,2;0,74;0,09;2;0,067;5;10;0,99418;3,28;0,57;11,8;6;RED
173;7,4;0,19;0,31;14,5;0,045;39;193;0,9986;3,1;0,5;9,2;6;WHITE
174;6,9;0,16;0,3;9,6;0,057;50;185;0,9978;3,39;0,38;9,6;6;WHITE
175;6,6;0,27;0,25;1,2;0,033;36;111;0,98918;3,16;0,37;12,4;6;WHITE
176;7,8;0,28;0,31;2,1;0,046;28;208;0,99434;3,23;0,64;9,8;5;WHITE
177;8,8;0,33;0,36;2,1;0,034;19;125;0,99166;2,96;0,98;12,7;6;WHITE
178;7,6;0,43;0,31;2,1;0,069;13;74;0,9958;3,26;0,54;9,9;6;RED
179;7,5;0,19;0,49;1,6;0,047;42;140;0,9932;3,4;0,47;10,7;6;WHITE
180;7,6;0,31;0,52;13,2;0,042;61;148;0,99839;2,98;0,47;9,1;6;WHITE
181;8,2;0,27;0,43;1,6;0,035;31;128;0,9916;3,1;0,5;12,3;6;WHITE
182;5;0,74;0;1,2;0,041;16;46;0,99258;4,01;0,59;12,5;6;RED
183;6,7;0,23;0,39;2,5;0,172;63;158;0,9937;3,11;0,36;9,4;6;WHITE
184;7,7;0,69;0,22;1,9;0,084;18;94;0,9961;3,31;0,48;9,5;5;RED
185;7;0,2;0,33;4,7;0,03;25;76;0,99202;2,88;0,54;10,5;6;WHITE
186;5,7;0,27;0,32;1,2;0,046;20;155;0,9934;3,8;0,41;10,2;6;WHITE
187;6,7;0,11;0,26;14,8;0,053;44;95;0,99676;3,2;0,35;9,8;6;WHITE
188;6,7;0,24;0,41;8,7;0,036;29;148;0,9952;3,22;0,62;9,9;6;WHITE
189;6,3;0,47;0;1,4;0,055;27;33;0,9922;3,45;0,48;12,3;6;RED
190;6,7;0,26;0,39;6,4;0,171;64;200;0,99562;3,19;0,38;9,4;6;WHITE
191;6,8;0,2;0,59;0,9;0,147;38;132;0,993;3,05;0,38;9,1;6;WHITE
192;7,4;0,36;0,3;1,8;0,074;17;24;0,99419;3,24;0,7;11,4;8;RED
193;5;0,44;0,04;18,6;0,039;38;128;0,9985;3,37;0,57;10,2;6;WHITE
194;7,3;0,18;0,29;1;0,036;26;101;0,99;3,09;0,37;11,7;6;WHITE
195;9,3;0,38;0,48;3,8;0,132;3;11;0,99577;3,23;0,57;13,2;6;RED
196;6,1;0,21;0,3;6,3;0,039;47;136;0,99068;3,27;0,31;12,7;6;WHITE
197;5;0,55;0,14;8,3;0,032;35;164;0,9918;3,53;0,51;12,5;8;WHITE
198;6,8;0,16;0,29;10,4;0,046;59;143;0,99518;3,2;0,4;10,8;6;WHITE
199;6,8;0,37;0,28;4;0,03;29;79;0,99;3,23;0,46;12,4;7;WHITE
200;6,3;0,33;0,42;17,2;0,037;57;170;0,99884;3,26;0,57;9,4;6;WHITE
201;7;0,19;0,23;5,7;0,123;27;104;0,9954;3,04;0,54;9,4;6;WHITE
202;6,5;0,15;0,32;1,3;0,036;19;76;0,98964;3,18;0,41;12,3;6;WHITE
203;6,4;0,24;0,26;8,2;0,054;47;182;0,99538;3,12;0,5;9,5;5;WHITE
204;6,2;0,46;0,29;2,1;0,074;32;98;0,99578;3,33;0,62;9,8;5;RED
205;7,1;0,32;0,24;13,1;0,05;52;204;0,998;3,1;0,49;8,8;5;WHITE
206;7,8;0,26;0,27;1,9;0,051;52;195;0,9928;3,23;0,5;10,9;6;WHITE
207;7,3;0,32;0,23;13,7;0,05;49;197;0,9985;3,2;0,46;8,7;5;WHITE
208;6,5;0,21;0,37;2,5;0,048;70;138;0,9917;3,33;0,75;11,4;7;WHITE
209;7,9;0,33;0,41;1,5;0,056;6;35;0,99396;3,29;0,71;11;6;RED
210;8,4;0,35;0,56;13,8;0,048;55;190;0,9993;3,07;0,58;9,4;6;WHITE
211;7,1;0,63;0,06;2;0,083;8;29;0,99855;3,67;0,73;9,6;5;RED
212;5,8;0,61;0,01;8,4;0,041;31;104;0,9909;3,26;0,72;14,05;7;WHITE
213;5;0,33;0,16;1,5;0,049;10;97;0,9917;3,48;0,44;10,7;6;WHITE
214;12,6;0,39;0,49;2,5;0,08;8;20;0,9992;3,07;0,82;10,3;6;RED
215;8;0,42;0,32;2,5;0,08;26;122;0,99801;3,22;1,07;9,7;5;RED
216;7,2;0,14;0,35;1,2;0,036;15;73;0,9938;3,46;0,39;9,9;5;WHITE
217;7,4;0,33;0,26;15,6;0,049;67;210;0,99907;3,06;0,68;9,5;5;WHITE
218;5,7;0,22;0,29;3,5;0,04;27;146;0,98999;3,17;0,36;12,1;6;WHITE
219;7;0,2;0,35;8,8;0,037;31;103;0,99388;3,13;0,49;11;6;WHITE
220;6,4;0,24;0,25;20,2;0,083;35;157;0,99976;3,17;0,5;9,1;5;WHITE
221;7,4;0,64;0,47;14,15;0,168;42;185;0,9984;2,9;0,49;9,3;5;WHITE
222;6,2;0,35;0,2;18,1;0,069;33;158;0,99908;3,15;0,5;8,8;6;WHITE
223;6,9;0,22;0,43;6,4;0,042;34;115;0,99293;3,05;0,51;10,8;6;WHITE
224;7;0,31;0,26;7,4;0,069;28;160;0,9954;3,13;0,46;9,8;6;WHITE
225;6,1;0,17;0,42;15,1;0,033;28;124;0,99684;2,87;0,47;9,5;5;WHITE
226;5;1,02;0,04;1,4;0,045;41;85;0,9938;3,75;0,48;10,5;4;RED
227;6,6;0,855;0,02;2,4;0,062;15;23;0,99627;3,54;0,6;11;6;RED
228;7;0,16;0,36;2,6;0,029;28;98;0,99126;3,11;0,37;11,2;7;WHITE
229;6,3;0,48;0,48;1,8;0,035;35;96;0,99121;3,49;0,74;12,2;6;WHITE
230;6,9;0,37;0,28;13,8;0,031;34;137;0,9948;3,1;0,37;11,6;6;WHITE
231;6,4;0,64;0,21;1,8;0,081;14;31;0,99689;3,59;0,66;9,8;5;RED
232;7;0,32;0,34;1,3;0,042;20;69;0,9912;3,31;0,65;12;7;WHITE
233;7,8;0,445;0,56;1;0,04;8;84;0,9938;3,25;0,43;10,8;5;WHITE
234;7,8;0,2;0,28;10,2;0,054;78;186;0,997;3,14;0,46;10;6;WHITE
235;5,4;0,74;0;1,2;0,041;16;46;0,99258;4,01;0,59;12,5;6;RED
236;7,2;0,31;0,41;8,6;0,053;15;89;0,9976;3,29;0,64;9,9;6;WHITE
237;8;0,22;0,32;10,4;0,043;63;201;0,997;3,11;0,53;9,5;6;WHITE
238;6,9;0,49;0,19;1,7;0,079;13;26;0,99547;3,38;0,64;9,8;6;RED
239;8,7;0,78;0,51;1,7;0,415;12;66;0,99623;3;1,17;9,2;5;RED
240;6,4;0,46;0,22;14,7;0,047;51;183;0,998275;3,39;0,6;10,5;5;WHITE
241;12,5;0,28;0,54;2,3;0,082;12;29;0,9997;3,11;1,36;9,8;7;RED
242;7,1;0,46;0,14;2,8;0,076;15;37;0,99624;3,36;0,49;10,7;5;RED
243;7;0,735;0,05;2;0,081;13;54;0,9966;3,39;0,57;9,8;5;RED
244;6,4;0,32;0,23;16,2;0,055;36;176;0,9986;3,26;0,54;9,1;5;WHITE
245;6,3;0,22;0,43;4,55;0,038;31;130;0,9918;3,35;0,33;11,5;7;WHITE
246;6,7;0,24;0,36;8,4;0,042;42;123;0,99473;3,34;0,52;10,9;6;WHITE
247;6,9;0,25;0,26;5,2;0,024;36;135;0,9948;3,16;0,72;10,7;7;WHITE
248;6,5;0,18;0,26;1,4;0,041;40;141;0,9941;3,34;0,72;9,5;6;WHITE
249;7,2;0,29;0,4;13,6;0,045;66;231;0,9977;3,08;0,59;9,6;6;WHITE
250;6,1;0,3;0,32;2,2;0,042;41;142;0,98952;3,31;0,44;12,7;7;WHITE
251;9,2;0,22;0,4;2,4;0,054;18;151;0,9952;3,04;0,46;9,3;4;WHITE
252;5,6;0,16;0,27;1,4;0,044;53;168;0,9918;3,28;0,37;10,1;6;WHITE
253;7,4;0,2;0,31;1,6;0,038;34;116;0,9912;3,25;0,39;12;7;WHITE
254;5,6;0,34;0,3;6,9;0,038;23;89;0,99266;3,25;0,49;11,1;6;WHITE
255;7,4;0,25;0,37;6,9;0,02;14;93;0,9939;3;0,48;10,7;7;WHITE
256;6,8;0,21;0,49;14,5;0,06;50;170;0,9991;3,55;0,44;9,8;6;WHITE
257;7,7;0,69;0,49;1,8;0,115;20;112;0,9968;3,21;0,71;9,3;5;RED
258;6,4;0,28;0,22;12,8;0,039;51;150;0,99535;3,23;0,43;10,7;6;WHITE
259;7,1;0,47;0,29;14,8;0,024;22;142;0,99518;3,12;0,48;12;8;WHITE
260;6,9;0,32;0,15;8,1;0,046;51;180;0,9958;3,13;0,45;8,9;5;WHITE
261;6;0,29;0,41;10,8;0,048;55;149;0,9937;3,09;0,59;10,96666667;7;WHITE
262;6,6;0,735;0,02;7,9;0,122;68;124;0,9994;3,47;0,53;9,9;5;RED
263;6,8;0,56;0,22;1,8;0,074;15;24;0,99438;3,4;0,82;11,2;6;RED
264;6,2;0,28;0,28;4,3;0,026;22;105;0,989;2,98;0,64;13,1;8;WHITE
265;6,9;1,09;0,06;2,1;0,061;12;31;0,9948;3,51;0,43;11,4;4;RED
266;6,9;0,28;0,24;2,1;0,034;49;121;0,98882;2,98;0,43;13,2;7;WHITE
267;5,5;0,375;0,38;1,7;0,036;17;98;0,99142;3,29;0,39;10,5;6;WHITE
268;5,6;0,19;0,27;0,9;0,04;52;103;0,99026;3,5;0,39;11,2;5;WHITE
269;7,1;0,36;0,56;1,3;0,046;25;102;0,9923;3,24;0,33;10,5;6;WHITE
270;6,3;0,27;0,37;7,9;0,047;58;215;0,99542;3,19;0,48;9,5;6;WHITE
271;6;0,19;0,29;1,2;0,046;29;92;0,99033;3,22;0,53;11,3;6;WHITE
272;6,9;0,27;0,41;1,7;0,047;6;134;0,9929;3,15;0,69;11,4;6;WHITE
273;6,5;0,26;0,28;12,5;0,046;80;225;0,99685;3,18;0,41;10;6;WHITE
274;6,8;0,15;0,41;12,9;0,044;79,5;183;0,99742;3,24;0,78;10,2;6;WHITE
275;6,1;0,58;0,23;2,5;0,044;16;70;0,99352;3,46;0,65;12,5;6;RED
276;10,6;0,34;0,49;3,2;0,078;20;78;0,9992;3,19;0,7;10;6;RED
277;7;0,36;0,25;5,7;0,015;14;73;0,98963;2,82;0,59;13,2;6;WHITE
278;8,2;0,34;0,49;8;0,046;55;223;0,996;3,08;0,52;10,7;6;WHITE
279;12;0,39;0,66;3;0,093;12;30;0,9996;3,18;0,63;10,8;7;RED
280;8,8;0,55;0,04;2,2;0,119;14;56;0,9962;3,21;0,6;10,9;6;RED
281;6,8;0,33;0,3;2,1;0,047;35;147;0,9886;3,24;0,56;13,4;6;WHITE
282;6,3;0,24;0,55;8,1;0,04;67;216;0,99596;3,24;0,5;9,2;5;WHITE
283;9,9;0,49;0,58;3,5;0,094;9;43;1,0004;3,29;0,58;9;5;RED
284;9;0,69;0;2,4;0,088;19;38;0,999;3,35;0,6;9,3;5;RED
285;6,6;0,31;0,07;1,5;0,033;55;144;0,99208;3,16;0,42;10;5;WHITE
